,Displacement
163,0.05194805194805194
164,0.05194805194805194
165,0.0701298701298701
166,0.3324675324675324
167,0.40259740259740256
168,0.12987012987012986
169,0.054545454545454536
170,0.7272727272727273
171,0.2545454545454545
172,0.6025974025974026
173,0.12727272727272726
174,0.3376623376623376
175,0.028571428571428553
176,0.6441558441558441
177,0.04935064935064934
178,0.18181818181818182
179,0.42077922077922075
180,0.01558441558441559
181,0.16883116883116883
182,0.2883116883116883
183,0.2233766233766234
184,0.12987012987012986
185,0.7298701298701298
186,0.12987012987012986
187,0.2103896103896104
188,0.19480519480519481
189,0.12987012987012986
190,0.6441558441558441
191,0.2935064935064935
192,0.24155844155844153
193,1.0
194,0.18181818181818182
195,0.335064935064935
196,0.6025974025974026
197,0.054545454545454536
198,0.4987012987012987
199,0.05194805194805194
200,0.054545454545454536
201,0.0
202,0.038961038961038946
203,0.335064935064935
204,0.09610389610389608
205,0.0051948051948051965
206,0.41818181818181815
207,0.2103896103896104
208,0.41818181818181815
209,0.041558441558441545
210,0.6441558441558441
211,0.0727272727272727
212,0.3376623376623376
213,0.13246753246753246
214,0.3376623376623376
215,0.4883116883116883
216,0.18181818181818182
217,0.19220779220779222
218,0.9610389610389609
219,0.09610389610389608
220,0.7532467532467533
221,0.2233766233766234
222,0.6441558441558441
223,0.13506493506493505
224,1.0
225,0.13246753246753246
226,0.7298701298701298
227,0.04675324675324674
228,0.10909090909090907
229,0.0701298701298701
230,0.8129870129870129
231,0.04935064935064934
232,0.40259740259740256
233,0.13506493506493505
234,0.1974025974025974
235,0.9974025974025973
236,0.11948051948051946
237,0.0701298701298701
238,0.7298701298701298
239,0.0727272727272727
240,0.09090909090909088
241,0.7298701298701298
242,0.13506493506493505
243,0.6441558441558441
244,0.2675324675324675
245,0.6077922077922078
246,0.0727272727272727
247,0.4883116883116883
248,0.041558441558441545
249,0.4675324675324675
250,0.11428571428571427
251,0.7298701298701298
252,0.16883116883116883
253,0.18181818181818182
254,0.40259740259740256
255,0.4675324675324675
256,0.6077922077922078
257,0.0727272727272727
258,0.2545454545454545
259,0.4883116883116883
260,0.11948051948051946
261,0.0
262,0.12727272727272726
263,0.0701298701298701
264,0.18181818181818182
265,0.13246753246753246
266,0.40259740259740256
267,0.857142857142857
268,0.40259740259740256
269,0.054545454545454536
270,0.10909090909090907
271,0.857142857142857
272,0.7272727272727273
273,0.020779220779220786
