,Frequency
277,3150.0
278,2000.0
279,4000.0
280,5000.0
281,799.9999999999999
282,399.99999999999994
283,1250.0
284,3150.0
285,2500.0
286,1250.0
287,12500.0
288,199.99999999999997
289,2000.0
290,1599.9999999999998
291,1250.0
292,1250.0
293,1599.9999999999998
294,1250.0
295,399.99999999999994
296,4000.0
297,12500.0
298,5000.0
299,1599.9999999999998
300,500.0
301,2000.0
302,4000.0
303,999.9999999999999
304,2000.0
305,5000.0
306,10000.0
307,6300.0
308,5000.0
309,1250.0
310,314.99999999999994
311,2000.0
312,8000.0
313,2500.0
314,1599.9999999999998
315,2500.0
316,10000.0
317,2500.0
318,799.9999999999999
319,1599.9999999999998
320,5000.0
321,2500.0
322,4000.0
323,3150.0
324,199.99999999999997
325,500.0
326,8000.0
327,2000.0
328,2000.0
329,2000.0
330,5000.0
331,2000.0
332,399.99999999999994
333,399.99999999999994
334,999.9999999999999
335,8000.0
336,199.99999999999997
337,199.99999999999997
338,8000.0
339,8000.0
340,6300.0
341,4000.0
342,1250.0
343,799.9999999999999
344,629.9999999999999
345,399.99999999999994
346,5000.0
347,399.99999999999994
348,629.9999999999999
349,2500.0
350,2000.0
351,799.9999999999999
352,314.99999999999994
353,1250.0
354,3150.0
355,2000.0
356,199.99999999999997
357,3150.0
358,1599.9999999999998
359,500.0
360,999.9999999999999
361,399.99999999999994
362,4000.0
363,10000.0
364,250.0
365,4000.0
366,4000.0
367,799.9999999999999
368,3150.0
369,2000.0
370,6300.0
371,6300.0
372,2000.0
373,250.0
374,399.99999999999994
375,1250.0
376,314.99999999999994
377,2500.0
378,799.9999999999999
379,2500.0
380,399.99999999999994
381,10000.0
382,3150.0
383,8000.0
384,199.99999999999997
385,799.9999999999999
386,3150.0
387,799.9999999999999
388,999.9999999999999
389,500.0
390,999.9999999999999
391,500.0
392,5000.0
393,2000.0
394,5000.0
395,10000.0
396,2000.0
397,799.9999999999999
398,4000.0
399,8000.0
400,4000.0
401,314.99999999999994
402,1599.9999999999998
403,1599.9999999999998
404,6300.0
405,6300.0
406,5000.0
407,20000.0
408,799.9999999999999
409,6300.0
410,4000.0
411,1599.9999999999998
412,250.0
413,2500.0
414,629.9999999999999
415,4000.0
416,399.99999999999994
417,399.99999999999994
418,6300.0
419,500.0
420,799.9999999999999
421,799.9999999999999
422,199.99999999999997
423,199.99999999999997
424,4000.0
425,2000.0
426,799.9999999999999
427,2500.0
428,3150.0
429,1250.0
430,999.9999999999999
431,314.99999999999994
432,629.9999999999999
433,5000.0
434,314.99999999999994
435,10000.0
436,999.9999999999999
437,500.0
438,2000.0
439,6300.0
440,1250.0
441,399.99999999999994
442,799.9999999999999
443,314.99999999999994
444,2000.0
445,8000.0
446,3150.0
447,799.9999999999999
448,199.99999999999997
449,500.0
450,2500.0
451,799.9999999999999
452,799.9999999999999
453,5000.0
454,1250.0
455,199.99999999999997
456,629.9999999999999
457,2000.0
458,3150.0
459,2000.0
460,8000.0
461,799.9999999999999
462,629.9999999999999
463,2000.0
464,629.9999999999999
465,629.9999999999999
466,314.99999999999994
467,3150.0
468,1250.0
469,4000.0
470,500.0
471,799.9999999999999
472,250.0
473,999.9999999999999
474,1599.9999999999998
475,500.0
476,399.99999999999994
477,1250.0
478,629.9999999999999
479,500.0
480,16000.0
481,2000.0
482,2000.0
483,3150.0
484,4000.0
485,6300.0
486,2000.0
487,399.99999999999994
488,1250.0
489,2000.0
490,3150.0
491,4000.0
492,5000.0
493,3150.0
494,4000.0
495,2000.0
496,6300.0
497,3150.0
498,2500.0
499,4000.0
500,5000.0
501,4000.0
502,5000.0
503,12500.0
504,8000.0
505,250.0
506,799.9999999999999
507,999.9999999999999
508,1250.0
509,999.9999999999999
510,500.0
511,1250.0
512,999.9999999999999
513,999.9999999999999
514,2500.0
515,2500.0
516,399.99999999999994
517,250.0
518,5000.0
519,10000.0
520,5000.0
521,314.99999999999994
522,10000.0
523,6300.0
524,2000.0
525,6300.0
526,799.9999999999999
527,8000.0
528,2000.0
529,2000.0
530,1250.0
531,2000.0
532,2500.0
533,1250.0
534,3150.0
535,1250.0
536,999.9999999999999
537,2500.0
538,999.9999999999999
539,629.9999999999999
540,500.0
541,629.9999999999999
542,1250.0
543,2500.0
544,314.99999999999994
545,5000.0
546,314.99999999999994
547,2000.0
548,314.99999999999994
549,6300.0
550,2500.0
551,199.99999999999997
552,6300.0
553,10000.0
554,314.99999999999994
555,5000.0
556,5000.0
557,4000.0
558,3150.0
559,999.9999999999999
560,2000.0
561,500.0
562,6300.0
563,6300.0
564,5000.0
565,629.9999999999999
566,314.99999999999994
567,16000.0
568,629.9999999999999
569,999.9999999999999
570,2000.0
571,629.9999999999999
572,1250.0
573,2000.0
574,3150.0
575,2500.0
576,399.99999999999994
577,1599.9999999999998
578,199.99999999999997
579,999.9999999999999
580,2000.0
581,1250.0
582,1250.0
583,500.0
584,2000.0
585,2500.0
586,1250.0
587,399.99999999999994
588,6300.0
589,5000.0
590,500.0
591,999.9999999999999
592,2000.0
593,6300.0
594,999.9999999999999
595,1250.0
596,10000.0
597,314.99999999999994
598,1250.0
599,2000.0
600,5000.0
601,799.9999999999999
602,314.99999999999994
603,2500.0
604,4000.0
605,500.0
606,314.99999999999994
607,3150.0
608,629.9999999999999
609,6300.0
610,199.99999999999997
611,3150.0
612,6300.0
613,399.99999999999994
614,12500.0
615,314.99999999999994
616,12500.0
617,5000.0
618,1599.9999999999998
619,2000.0
620,3150.0
621,399.99999999999994
622,6300.0
623,399.99999999999994
624,5000.0
625,250.0
626,5000.0
627,1250.0
628,8000.0
629,629.9999999999999
630,4000.0
631,314.99999999999994
632,314.99999999999994
633,1599.9999999999998
634,6300.0
635,2000.0
636,999.9999999999999
637,629.9999999999999
638,314.99999999999994
639,10000.0
640,5000.0
641,999.9999999999999
642,12500.0
643,1250.0
644,10000.0
645,999.9999999999999
646,4000.0
647,12500.0
648,3150.0
649,399.99999999999994
650,500.0
651,3150.0
652,199.99999999999997
653,999.9999999999999
654,2000.0
655,6300.0
656,6300.0
657,799.9999999999999
658,500.0
659,399.99999999999994
660,399.99999999999994
661,1250.0
662,250.0
663,10000.0
664,4000.0
665,1250.0
666,5000.0
667,4000.0
668,629.9999999999999
669,500.0
670,2500.0
671,6300.0
672,1250.0
673,5000.0
674,4000.0
675,8000.0
676,2500.0
677,1250.0
678,6300.0
679,629.9999999999999
680,12500.0
681,1599.9999999999998
682,2000.0
683,2500.0
684,199.99999999999997
685,3150.0
686,5000.0
687,250.0
688,6300.0
689,629.9999999999999
690,10000.0
691,250.0
692,500.0
693,399.99999999999994
694,399.99999999999994
695,2000.0
696,399.99999999999994
697,799.9999999999999
698,3150.0
699,799.9999999999999
700,10000.0
701,2500.0
702,4000.0
703,399.99999999999994
704,999.9999999999999
705,8000.0
706,500.0
707,2000.0
708,500.0
709,500.0
710,2000.0
711,2500.0
712,500.0
713,999.9999999999999
714,399.99999999999994
715,6300.0
716,399.99999999999994
717,1599.9999999999998
718,629.9999999999999
719,2500.0
720,250.0
721,4000.0
722,3150.0
723,8000.0
724,20000.0
725,799.9999999999999
726,629.9999999999999
727,2500.0
728,2500.0
729,500.0
730,6300.0
731,5000.0
732,250.0
733,1250.0
734,399.99999999999994
735,314.99999999999994
736,1599.9999999999998
737,629.9999999999999
738,2000.0
739,5000.0
740,5000.0
741,799.9999999999999
742,8000.0
743,1599.9999999999998
744,799.9999999999999
745,250.0
746,8000.0
747,629.9999999999999
748,799.9999999999999
749,6300.0
750,629.9999999999999
751,1599.9999999999998
752,999.9999999999999
753,1250.0
754,1599.9999999999998
755,799.9999999999999
756,3150.0
757,629.9999999999999
758,4000.0
759,5000.0
760,2500.0
761,999.9999999999999
762,3150.0
763,629.9999999999999
764,5000.0
765,2500.0
766,3150.0
767,3150.0
768,5000.0
769,2500.0
770,1250.0
771,500.0
772,1250.0
773,2500.0
774,1250.0
775,2000.0
776,999.9999999999999
777,799.9999999999999
778,250.0
779,10000.0
780,2500.0
781,6300.0
782,1250.0
783,4000.0
784,3150.0
785,10000.0
786,5000.0
787,799.9999999999999
788,1599.9999999999998
789,3150.0
790,3150.0
791,5000.0
792,799.9999999999999
793,4000.0
794,2000.0
795,3150.0
796,5000.0
797,629.9999999999999
798,629.9999999999999
799,3150.0
800,2500.0
801,4000.0
802,629.9999999999999
803,799.9999999999999
804,314.99999999999994
805,2000.0
806,10000.0
807,250.0
808,6300.0
809,2500.0
810,20000.0
811,6300.0
812,8000.0
813,16000.0
814,629.9999999999999
815,999.9999999999999
816,799.9999999999999
817,1250.0
818,4000.0
819,1250.0
820,399.99999999999994
821,399.99999999999994
822,5000.0
823,20000.0
824,250.0
825,500.0
826,12500.0
827,799.9999999999999
828,999.9999999999999
829,999.9999999999999
830,2000.0
831,999.9999999999999
832,250.0
833,399.99999999999994
834,4000.0
835,2000.0
836,2500.0
837,629.9999999999999
838,2500.0
839,999.9999999999999
840,2000.0
841,10000.0
842,999.9999999999999
843,1250.0
844,2000.0
845,199.99999999999997
846,3150.0
847,4000.0
848,799.9999999999999
849,2500.0
850,799.9999999999999
851,8000.0
852,4000.0
853,1250.0
854,1250.0
855,1250.0
856,1599.9999999999998
857,1599.9999999999998
858,5000.0
859,1599.9999999999998
860,5000.0
861,999.9999999999999
862,1599.9999999999998
863,3150.0
864,3150.0
865,6300.0
866,1599.9999999999998
867,314.99999999999994
868,799.9999999999999
869,16000.0
870,8000.0
871,314.99999999999994
872,5000.0
873,2500.0
874,2000.0
875,2000.0
876,629.9999999999999
877,4000.0
878,1250.0
879,199.99999999999997
880,1599.9999999999998
881,10000.0
882,999.9999999999999
883,5000.0
884,1250.0
885,6300.0
886,629.9999999999999
887,1599.9999999999998
888,3150.0
889,3150.0
890,1599.9999999999998
891,6300.0
892,5000.0
893,500.0
894,3150.0
895,12500.0
896,399.99999999999994
897,799.9999999999999
898,399.99999999999994
899,6300.0
900,3150.0
901,500.0
902,3150.0
903,629.9999999999999
904,3150.0
905,1250.0
906,4000.0
907,6300.0
908,199.99999999999997
909,6300.0
910,16000.0
911,2500.0
912,2500.0
913,1250.0
914,6300.0
915,999.9999999999999
916,3150.0
917,4000.0
918,3150.0
919,6300.0
920,3150.0
921,2500.0
922,6300.0
923,10000.0
924,6300.0
925,999.9999999999999
926,500.0
927,799.9999999999999
928,999.9999999999999
929,12500.0
930,999.9999999999999
931,4000.0
932,4000.0
933,1599.9999999999998
934,500.0
935,629.9999999999999
936,2000.0
937,1599.9999999999998
938,999.9999999999999
939,12500.0
940,4000.0
941,1599.9999999999998
942,629.9999999999999
943,250.0
944,799.9999999999999
945,3150.0
946,2000.0
947,6300.0
948,629.9999999999999
949,6300.0
950,250.0
951,2500.0
952,2500.0
953,999.9999999999999
954,2500.0
955,629.9999999999999
956,629.9999999999999
957,1250.0
958,399.99999999999994
959,1250.0
960,1599.9999999999998
961,20000.0
962,399.99999999999994
963,629.9999999999999
964,199.99999999999997
965,12500.0
966,5000.0
967,6300.0
968,629.9999999999999
969,799.9999999999999
970,8000.0
971,314.99999999999994
972,10000.0
973,399.99999999999994
974,1599.9999999999998
975,1250.0
976,799.9999999999999
977,1250.0
978,8000.0
979,500.0
980,3150.0
981,799.9999999999999
982,1250.0
983,1599.9999999999998
984,2000.0
985,629.9999999999999
986,314.99999999999994
987,799.9999999999999
988,250.0
989,5000.0
990,8000.0
991,2500.0
992,5000.0
993,5000.0
994,199.99999999999997
995,2000.0
996,199.99999999999997
997,500.0
998,2500.0
999,2500.0
1000,2500.0
1001,3150.0
1002,2500.0
1003,6300.0
1004,1599.9999999999998
1005,1250.0
1006,5000.0
1007,999.9999999999999
1008,250.0
1009,16000.0
1010,1250.0
1011,1599.9999999999998
1012,3150.0
1013,3150.0
1014,799.9999999999999
1015,10000.0
1016,629.9999999999999
1017,250.0
1018,1599.9999999999998
1019,6300.0
1020,6300.0
1021,799.9999999999999
1022,3150.0
1023,2500.0
1024,4000.0
1025,399.99999999999994
1026,3150.0
1027,4000.0
1028,10000.0
1029,399.99999999999994
1030,629.9999999999999
1031,2500.0
1032,1250.0
1033,1599.9999999999998
1034,4000.0
1035,5000.0
1036,799.9999999999999
1037,2500.0
1038,999.9999999999999
1039,1599.9999999999998
1040,5000.0
1041,12500.0
1042,629.9999999999999
1043,6300.0
1044,1599.9999999999998
1045,500.0
1046,314.99999999999994
1047,1250.0
1048,999.9999999999999
1049,3150.0
1050,1599.9999999999998
1051,3150.0
