,Cylinders,Displacement,Horse_power,Weight,Acceleration,Model_year,Origin
45,4.0,79.0,67.0,1950.0,19.0,74.0,3.0
46,8.0,429.0,198.0,4341.0,10.0,70.0,1.0
47,8.0,350.0,165.0,4274.0,12.0,72.0,1.0
48,6.0,232.0,100.0,2634.0,13.0,71.0,1.0
49,8.0,350.0,145.0,4055.0,12.0,76.0,1.0
50,6.0,232.0,90.0,3265.0,18.2,79.0,1.0
51,4.0,134.0,95.0,2560.0,14.2,78.0,3.0
52,6.0,200.0,81.0,3012.0,17.6,76.0,1.0
53,8.0,302.0,139.0,3205.0,11.2,78.0,1.0
54,8.0,302.0,129.0,3169.0,12.0,75.0,1.0
55,8.0,318.0,150.0,4190.0,13.0,76.0,1.0
56,8.0,400.0,170.0,4668.0,11.5,75.0,1.0
57,6.0,232.0,100.0,2901.0,16.0,74.0,1.0
58,4.0,105.0,75.0,2230.0,14.5,78.0,1.0
59,4.0,151.0,88.0,2740.0,16.0,77.0,1.0
60,8.0,383.0,180.0,4955.0,11.5,71.0,1.0
61,8.0,304.0,150.0,3433.0,12.0,70.0,1.0
62,8.0,400.0,150.0,3761.0,9.5,70.0,1.0
63,6.0,250.0,105.0,3353.0,14.5,76.0,1.0
64,4.0,71.0,65.0,1836.0,21.0,74.0,3.0
65,4.0,97.0,88.0,2130.0,14.5,70.0,3.0
66,8.0,304.0,150.0,3892.0,12.5,72.0,1.0
67,4.0,84.99999999999999,70.0,1990.0,17.0,76.0,3.0
68,6.0,232.0,100.0,3288.0,15.5,71.0,1.0
69,6.0,250.0,72.0,3432.0,21.0,75.0,1.0
70,8.0,260.0,90.0,3420.0,22.2,79.0,1.0
71,4.0,140.0,89.0,2755.0,15.8,77.0,1.0
72,4.0,84.99999999999999,65.0,2110.0,19.2,80.0,3.0
73,8.0,304.0,193.0,4732.0,18.5,70.0,1.0
74,4.0,97.0,78.0,2190.0,14.1,77.0,2.0
75,8.0,318.0,150.0,4135.0,13.5,72.0,1.0
76,4.0,121.0,112.0,2933.0,14.5,72.0,2.0
77,8.0,318.0,150.0,4498.0,14.5,75.0,1.0
78,4.0,84.99999999999999,52.0,2035.0,22.2,76.0,1.0
79,4.0,122.0,96.0,2300.0,15.5,77.0,1.0
80,8.0,305.0,130.0,3840.0,15.4,79.0,1.0
81,4.0,116.0,75.0,2246.0,14.0,74.0,2.0
82,8.0,318.0,150.0,3755.0,14.0,76.0,1.0
83,4.0,151.0,90.0,2735.0,18.0,82.0,1.0
84,8.0,455.0,225.0,3086.0,10.0,70.0,1.0
85,4.0,108.0,70.0,2245.0,16.9,82.0,3.0
86,4.0,97.0,78.0,2188.0,15.8,80.0,2.0
87,5.0,131.0,103.0,2830.0,15.9,78.0,2.0
88,4.0,107.0,75.0,2205.0,14.5,82.0,3.0
89,8.0,400.0,175.0,4385.0,12.0,72.0,1.0
90,4.0,119.0,97.0,2545.0,17.0,75.0,3.0
91,8.0,318.0,150.0,4457.0,13.5,74.0,1.0
92,6.0,250.0,98.0,3525.0,19.0,77.0,1.0
93,6.0,250.0,78.0,3574.0,21.0,76.0,1.0
94,8.0,360.0,170.0,4654.0,13.0,73.0,1.0
95,4.0,107.0,72.0,2290.0,17.0,80.0,3.0
96,8.0,318.0,145.0,4140.0,13.7,77.0,1.0
97,8.0,400.0,180.0,4220.0,11.1,77.0,1.0
98,6.0,250.0,110.0,3520.0,16.4,77.0,1.0
99,4.0,119.0,97.0,2300.0,14.7,78.0,3.0
100,3.0,70.0,97.0,2330.0,13.5,72.0,3.0
101,6.0,156.0,122.0,2807.0,13.5,73.0,3.0
102,8.0,350.0,105.0,3725.0,19.0,81.0,1.0
103,8.0,302.0,137.0,4042.0,14.5,73.0,1.0
104,4.0,122.0,86.0,2220.0,14.0,71.0,1.0
105,8.0,400.0,230.0,4278.0,9.5,73.0,1.0
106,6.0,232.0,100.0,2945.0,16.0,73.0,1.0
107,6.0,250.0,88.0,3139.0,14.5,71.0,1.0
108,4.0,141.0,80.0,3230.0,20.4,81.0,2.0
109,8.0,318.0,210.0,4382.0,13.5,70.0,1.0
110,6.0,232.0,90.0,3085.0,17.6,76.0,1.0
111,8.0,350.0,165.0,4209.0,12.0,71.0,1.0
112,4.0,91.0,67.0,1850.0,13.8,80.0,3.0
113,8.0,350.0,165.0,3693.0,11.5,70.0,1.0
114,4.0,135.0,84.0,2525.0,16.0,82.0,1.0
115,6.0,250.0,105.0,3459.0,16.0,75.0,1.0
116,8.0,302.0,140.0,4141.0,14.0,74.0,1.0
117,8.0,350.0,145.0,3988.0,13.0,73.0,1.0
118,4.0,98.0,76.0,2144.0,14.7,80.0,2.0
119,8.0,260.0,110.0,4060.0,19.0,77.0,1.0
120,4.0,146.0,67.0,3250.0,21.8,80.0,2.0
121,8.0,318.0,140.0,4080.0,13.7,78.0,1.0
122,8.0,350.0,180.0,3664.0,11.0,73.0,1.0
123,8.0,302.0,139.0,3570.0,12.8,78.0,1.0
124,4.0,71.0,65.0,1773.0,19.0,71.0,3.0
125,8.0,350.0,125.0,3900.0,17.4,79.0,1.0
126,6.0,225.0,105.0,3613.0,16.5,74.0,1.0
127,4.0,105.0,74.0,2190.0,14.2,81.0,2.0
128,4.0,97.0,46.0,1835.0,20.5,70.0,2.0
129,4.0,151.0,90.0,3003.0,20.1,80.0,1.0
130,4.0,115.0,95.0,2694.0,15.0,75.0,2.0
131,4.0,108.0,75.0,2265.0,15.2,80.0,3.0
132,4.0,122.0,85.0,2310.0,18.5,73.0,1.0
133,8.0,302.0,129.0,3725.0,13.4,79.0,1.0
134,4.0,105.0,63.0,2215.0,14.9,81.0,1.0
135,6.0,250.0,110.0,3645.0,16.2,76.0,1.0
136,8.0,350.0,175.0,4100.0,13.0,73.0,1.0
137,6.0,231.0,105.0,3535.0,19.2,78.0,1.0
138,6.0,231.0,115.0,3245.0,15.4,79.0,1.0
139,6.0,231.0,105.0,3425.0,16.9,77.0,1.0
140,4.0,79.0,58.0,1755.0,16.9,81.0,3.0
141,4.0,105.0,70.0,2150.0,14.9,79.0,1.0
142,4.0,98.0,60.0,2164.0,22.1,76.0,1.0
143,4.0,98.0,70.0,2120.0,15.5,80.0,1.0
144,4.0,91.0,67.0,1965.0,15.7,82.0,3.0
145,4.0,84.99999999999999,70.0,1945.0,16.8,77.0,3.0
146,4.0,120.0,88.0,3270.0,21.9,76.0,2.0
147,4.0,97.0,88.0,2130.0,14.5,71.0,3.0
148,8.0,360.0,175.0,3821.0,11.0,73.0,1.0
149,4.0,151.0,90.0,2950.0,17.3,82.0,1.0
150,8.0,429.0,208.0,4633.0,11.0,72.0,1.0
151,6.0,225.0,110.0,3360.0,16.6,79.0,1.0
152,6.0,146.0,120.0,2930.0,13.8,81.0,3.0
153,4.0,121.0,110.0,2600.0,12.8,77.0,2.0
154,4.0,98.0,68.0,2135.0,16.6,78.0,3.0
155,4.0,89.0,62.0,1845.0,15.3,80.0,2.0
156,4.0,110.0,87.0,2672.0,17.5,70.0,2.0
157,8.0,340.0,160.0,3609.0,8.0,70.0,1.0
158,4.0,113.0,95.0,2372.0,15.0,70.0,3.0
159,4.0,113.0,95.0,2228.0,14.0,71.0,3.0
160,8.0,304.0,120.0,3962.0,13.9,76.0,1.0
161,4.0,140.0,83.0,2639.0,17.0,75.0,1.0
162,4.0,89.0,62.0,2050.0,17.3,81.0,3.0
163,4.0,89.99999999999999,48.0,2085.0,21.7,80.0,2.0
164,4.0,89.99999999999999,48.0,1985.0,21.5,78.0,2.0
165,4.0,97.0,67.0,2145.0,18.0,80.0,3.0
166,6.0,198.0,95.0,2904.0,16.0,73.0,1.0
167,6.0,225.0,100.0,3430.0,17.2,78.0,1.0
168,4.0,120.0,97.0,2489.0,15.0,74.0,3.0
169,4.0,91.0,68.0,2025.0,18.2,82.0,3.0
170,8.0,350.0,180.0,4380.0,12.1,76.0,1.0
171,6.0,168.0,120.0,3820.0,16.7,76.0,2.0
172,8.0,302.0,130.0,3870.0,15.0,76.0,1.0
173,4.0,119.0,92.0,2434.0,15.0,80.0,3.0
174,6.0,200.0,88.0,3060.0,17.1,81.0,1.0
175,4.0,81.0,60.0,1760.0,16.1,81.0,3.0
176,8.0,318.0,150.0,4096.0,13.0,71.0,1.0
177,4.0,89.0,60.0,1968.0,18.8,80.0,3.0
178,4.0,140.0,72.0,2408.0,19.0,71.0,1.0
179,6.0,232.0,100.0,2789.0,15.0,73.0,1.0
180,4.0,76.0,52.0,1649.0,16.5,74.0,3.0
181,4.0,135.0,84.0,2295.0,11.6,82.0,1.0
182,6.0,181.0,110.0,2945.0,16.4,82.0,1.0
183,4.0,156.0,105.0,2745.0,16.7,78.0,1.0
184,4.0,120.0,79.0,2625.0,18.6,82.0,1.0
185,8.0,351.0,149.0,4335.0,14.5,77.0,1.0
186,4.0,120.0,88.0,2957.0,17.0,75.0,2.0
187,4.0,151.0,90.0,2678.0,16.5,80.0,1.0
188,6.0,145.0,76.0,3160.0,19.6,81.0,2.0
189,4.0,120.0,75.0,2542.0,17.5,80.0,3.0
190,8.0,318.0,150.0,3436.0,11.0,70.0,1.0
191,5.0,183.0,77.0,3530.0,20.1,79.0,2.0
192,6.0,163.0,125.0,3140.0,13.6,78.0,2.0
193,8.0,455.0,225.0,4425.0,10.0,70.0,1.0
194,4.0,140.0,92.0,2865.0,16.4,82.0,1.0
195,6.0,199.0,90.0,2648.0,15.0,70.0,1.0
196,8.0,302.0,140.0,3449.0,10.5,70.0,1.0
197,4.0,91.0,53.0,1795.0,17.4,76.0,3.0
198,6.0,262.0,85.0,3015.0,17.0,82.0,1.0
199,4.0,89.99999999999999,70.0,1937.0,14.0,75.0,2.0
200,4.0,91.0,68.0,1970.0,17.6,82.0,3.0
201,3.0,70.0,90.0,2124.0,13.5,73.0,3.0
202,4.0,84.99999999999999,70.0,2070.0,18.6,78.0,3.0
203,6.0,199.0,97.0,2774.0,15.5,70.0,1.0
204,4.0,107.0,90.0,2430.0,14.5,70.0,2.0
205,4.0,71.99999999999999,69.0,1613.0,18.0,71.0,3.0
206,6.0,231.0,105.0,3380.0,15.8,78.0,1.0
207,4.0,151.0,90.0,2556.0,13.2,79.0,1.0
208,6.0,231.0,110.0,3039.0,15.0,75.0,1.0
209,4.0,86.0,65.0,1975.0,15.2,79.0,3.0
210,8.0,318.0,150.0,3940.0,13.2,76.0,1.0
211,4.0,98.0,63.0,2051.0,17.0,77.0,1.0
212,6.0,200.0,85.0,2990.0,18.2,79.0,1.0
213,4.0,121.0,110.0,2660.0,14.0,73.0,2.0
214,6.0,200.0,85.0,2965.0,15.8,78.0,1.0
215,6.0,258.0,120.0,3410.0,15.1,78.0,1.0
216,4.0,140.0,88.0,2870.0,18.1,80.0,1.0
217,4.0,144.0,96.0,2665.0,13.9,82.0,3.0
218,8.0,440.0,215.0,4312.0,8.5,70.0,1.0
219,4.0,107.0,75.0,2210.0,14.4,81.0,3.0
220,8.0,360.0,150.0,3940.0,13.0,79.0,1.0
221,4.0,156.0,92.0,2585.0,14.5,82.0,1.0
222,8.0,318.0,150.0,4237.0,14.5,73.0,1.0
223,4.0,122.0,86.0,2226.0,16.5,72.0,1.0
224,8.0,455.0,225.0,4951.0,11.0,73.0,1.0
225,4.0,121.0,98.0,2945.0,14.5,75.0,2.0
226,8.0,351.0,138.0,3955.0,13.2,79.0,1.0
227,4.0,88.0,76.0,2065.0,14.5,71.0,2.0
228,4.0,112.0,85.0,2575.0,16.2,82.0,1.0
229,4.0,97.0,71.0,1825.0,12.2,76.0,2.0
230,8.0,383.0,170.0,3563.0,10.0,70.0,1.0
231,4.0,89.0,71.0,1925.0,14.0,79.0,2.0
232,6.0,225.0,95.0,3785.0,19.0,75.0,1.0
233,4.0,122.0,80.0,2451.0,16.5,74.0,1.0
234,6.0,146.0,97.0,2815.0,14.5,77.0,3.0
235,8.0,454.0,220.0,4354.0,9.0,70.0,1.0
236,4.0,116.0,90.0,2123.0,14.0,71.0,2.0
237,4.0,97.0,78.0,1940.0,14.5,77.0,2.0
238,8.0,351.0,152.0,4215.0,12.8,76.0,1.0
239,4.0,98.0,79.0,2255.0,17.7,76.0,1.0
240,4.0,105.0,63.0,2125.0,14.7,82.0,1.0
241,8.0,351.0,153.0,4129.0,13.0,72.0,1.0
242,4.0,122.0,86.0,2395.0,16.0,72.0,1.0
243,8.0,318.0,135.0,3830.0,15.2,79.0,1.0
244,6.0,173.0,110.0,2725.0,12.6,81.0,1.0
245,8.0,304.0,150.0,3672.0,11.5,72.0,1.0
246,4.0,98.0,65.0,2380.0,20.7,81.0,1.0
247,6.0,258.0,110.0,2962.0,13.5,71.0,1.0
248,4.0,86.0,65.0,2110.0,17.9,80.0,3.0
249,6.0,250.0,72.0,3158.0,19.5,75.0,1.0
250,4.0,114.0,91.0,2582.0,14.0,73.0,2.0
251,8.0,351.0,142.0,4054.0,14.3,79.0,1.0
252,4.0,135.0,84.0,2385.0,12.9,81.0,1.0
253,4.0,140.0,92.0,2572.0,14.9,76.0,1.0
254,6.0,225.0,100.0,3651.0,17.7,76.0,1.0
255,6.0,250.0,100.0,3329.0,15.5,71.0,1.0
256,8.0,304.0,150.0,3672.0,11.5,73.0,1.0
257,4.0,98.0,66.0,1800.0,14.4,78.0,1.0
258,6.0,168.0,116.0,2900.0,12.6,81.0,3.0
259,6.0,258.0,110.0,3730.0,19.0,75.0,1.0
260,4.0,116.0,75.0,2158.0,15.5,73.0,2.0
261,3.0,70.0,100.0,2420.0,12.5,80.0,3.0
262,4.0,119.0,97.0,2405.0,14.9,78.0,3.0
263,4.0,97.0,67.0,2065.0,17.8,81.0,3.0
264,4.0,140.0,78.0,2592.0,18.5,75.0,1.0
265,5.0,121.0,67.0,2950.0,19.9,80.0,2.0
266,6.0,225.0,90.0,3381.0,18.7,80.0,1.0
267,8.0,400.0,150.0,4997.0,14.0,73.0,1.0
268,6.0,225.0,110.0,3620.0,18.7,78.0,1.0
269,4.0,91.0,67.0,1965.0,15.0,82.0,3.0
270,4.0,112.0,88.0,2640.0,18.6,82.0,1.0
271,8.0,400.0,190.0,4422.0,12.5,72.0,1.0
272,8.0,350.0,180.0,4499.0,12.5,73.0,1.0
273,4.0,78.0,52.0,1985.0,19.4,78.0,3.0
