,Scaled sound pressure level
180,128.72299999999998
1089,130.964
797,116.96700000000001
1114,122.93799999999999
446,120.509
458,128.64700000000002
24,119.60600000000001
557,133.097
330,122.229
166,123.775
1406,116.22
1085,123.89399999999999
1149,115.846
402,120.458
1492,118.084
692,108.689
841,125.941
999,135.227
270,118.712
889,126.5
173,107.405
1379,136.583
763,123.988
723,104.13
337,125.319
865,124.42
6,125.20100000000001
830,120.07600000000001
626,112.68799999999999
377,131.221
8,121.301
345,120.189
254,122.816
263,128.762
1279,122.34100000000001
53,129.095
419,117.28399999999999
857,128.99
1083,119.294
943,120.575
1502,104.204
1483,119.88799999999999
799,129.946
1254,126.17
1459,124.71700000000001
611,110.31299999999999
965,136.83700000000002
1308,131.129
786,117.32799999999999
926,123.255
1026,126.944
147,126.838
519,126.53399999999999
1267,119.91
839,122.086
858,130.67
1151,119.806
960,113.00399999999999
1409,130.588
132,128.312
165,124.395
783,129.308
509,119.73700000000001
219,130.205
1069,123.08200000000001
554,126.807
176,128.63299999999998
753,129.148
1165,110.491
465,120.24700000000001
73,121.762
1433,124.214
818,115.81200000000001
593,116.181
232,129.465
498,121.617
1388,123.62299999999999
1329,120.851
207,127.91
1111,124.426
1486,113.29799999999999
329,112.524
5,125.571
727,128.56
228,117.465
114,129.569
969,133.207
1336,133.40200000000002
58,122.375
1312,132.889
709,114.75
1261,131.78
1501,106.22399999999999
1378,134.533
1424,113.958
1213,120.65700000000001
539,112.589
1196,116.956
1212,117.96700000000001
158,129.575
230,123.635
755,132.918
143,125.398
454,125.81700000000001
689,112.209
301,130.688
172,110.905
294,121.40700000000001
817,122.61200000000001
1460,123.20700000000001
700,122.044
1251,125.465
1199,127.676
742,131.45600000000002
938,126.995
713,114.9
671,117.925
973,130.07299999999998
317,127.314
1033,122.956
872,126.805
284,116.417
409,135.924
1297,133.664
83,128.311
533,125.589
1113,119.698
226,123.465
1220,124.12700000000001
480,121.90299999999999
315,109.63799999999999
1415,127.318
99,129.35399999999998
475,127.76299999999999
838,125.57600000000001
1491,115.304
773,130.34
976,135.803
1148,113.796
766,129.27
393,139.438
50,122.765
825,130.965
1070,125.45200000000001
305,126.21799999999999
108,118.134
794,129.77700000000002
725,130.96
967,129.86700000000002
1074,133.062
892,130.43
919,121.225
1056,127.008
698,123.304
1399,130.94
75,118.12200000000001
130,129.292
777,124.318
1400,129.58
1120,133.048
1466,114.477
908,128.423
22,123.236
245,127.35600000000001
477,127.23299999999999
1263,128.36
401,122.088
1283,131.313
641,116.84899999999999
34,128.629
1161,123.126
897,125.63
518,127.054
1313,130.629
371,118.05
210,126.54
942,121.485
1445,122.205
488,131.023
959,116.184
653,121.635
1019,125.054
1215,134.247
1087,129.014
174,123.54299999999999
749,127.63600000000001
21,124.10600000000001
795,125.71700000000001
1203,128.306
308,121.728
1093,129.934
1043,126.066
139,115.792
1282,129.053
236,125.625
657,115.085
295,121.527
659,112.065
334,130.469
915,118.113
354,122.089
780,133.72799999999998
1249,130.795
556,131.80700000000002
1117,128.878
705,113.334
852,130.541
212,123.41
1430,124.244
586,131.491
647,132.355
1139,129.567
1129,114.41799999999999
156,126.395
595,115.59100000000001
1191,124.154
1029,121.28399999999999
1223,123.12700000000001
510,117.95700000000001
199,114.984
599,134.85299999999998
162,131.015
798,127.556
1356,136.88299999999998
805,126.926
637,122.679
258,122.292
632,135.079
883,119.135
200,114.47399999999999
1488,124.64399999999999
820,122.905
980,131.453
1431,125.11399999999999
1,125.20100000000001
487,130.033
837,127.686
1232,128.416
391,139.918
541,124.12100000000001
122,118.689
265,124.61200000000001
238,123.445
860,133.13
1236,121.306
811,130.722
826,129.965
126,112.169
1104,131.346
701,120.154
1376,120.446
1147,112.506
106,121.514
1110,126.736
822,128.435
577,120.49700000000001
512,127.39399999999999
1025,132.184
1221,123.917
1137,130.77700000000002
1257,131.43
669,120.555
1348,136.678
603,130.893
1178,118.941
1482,121.52799999999999
565,118.757
445,119.09899999999999
399,125.728
816,128.40200000000002
804,131.966
155,109.71799999999999
718,110.78
127,123.31200000000001
161,131.755
79,106.58200000000001
45,114.779
1099,122.766
1290,124.39299999999999
1404,119.19
1107,130.496
1259,132.54
682,126.04899999999999
1340,124.852
849,136.191
390,138.75799999999998
134,122.78200000000001
628,110.868
1432,125.484
1439,112.014
1233,126.446
901,112.93
1478,122.288
702,120.53399999999999
792,133.58700000000002
356,120.229
1049,128.718
372,116.92
782,132.828
113,128.179
90,119.111
776,119.07
569,127.637
683,125.539
680,128.939
917,109.663
418,117.134
598,132.043
1124,133.75799999999998
300,129.03799999999998
476,127.75299999999999
1495,118.214
357,118.859
747,132.796
1180,114.044
1041,134.336
525,110.36399999999999
913,122.413
1037,131.236
894,130.0
609,116.603
1464,119.777
434,114.309
186,115.863
673,113.525
214,118.41
1499,109.25399999999999
280,121.397
1250,129.395
1331,115.321
676,109.885
587,128.241
1461,118.667
635,128.879
1416,127.928
1005,128.977
1242,128.825
341,119.15899999999999
153,115.60799999999999
864,126.54
890,127.22
1086,126.514
1122,134.22799999999998
1106,131.036
1384,135.433
992,129.116
193,125.824
1418,124.74799999999999
846,133.611
662,128.335
66,127.12200000000001
757,135.938
400,122.708
1408,113.11
511,127.404
734,133.04
949,127.22399999999999
1484,118.99799999999999
1359,124.273
1119,131.69799999999998
1260,133.04
907,127.443
1446,121.315
1073,132.202
272,122.147
1188,131.364
118,124.439
1017,119.708
112,126.15899999999999
1344,131.44799999999998
406,135.234
737,125.22
1407,113.08
453,110.689
379,132.011
751,126.508
110,114.634
679,128.809
312,113.10799999999999
1444,128.265
741,128.576
18,126.086
246,128.216
559,130.77700000000002
171,113.665
1397,133.79
1339,128.252
1135,130.217
812,132.252
728,129.68
1298,134.034
1281,126.413
1427,135.674
363,133.48
1442,129.675
227,122.175
1013,131.518
1020,129.144
1079,128.412
1143,125.10700000000001
1457,124.98700000000001
972,127.62299999999999
1441,128.545
1168,119.62100000000001
505,125.867
105,124.024
769,134.87
1176,124.101
866,122.17
989,136.826
850,135.191
291,128.67700000000002
1239,118.816
290,130.30700000000002
887,124.17
314,112.76799999999999
788,128.42700000000002
895,128.2
534,122.919
1141,127.84700000000001
1071,128.082
11,115.391
923,124.685
856,126.43
57,122.365
1472,107.26700000000001
109,116.134
16,128.086
1453,113.055
743,133.95600000000002
854,122.471
819,120.015
340,120.419
732,134.43
481,119.25299999999999
425,132.039
1398,131.92
791,133.847
514,130.144
927,121.485
91,117.741
1391,116.723
1354,135.953
549,127.59100000000001
1321,131.971
813,133.032
1302,127.054
540,108.649
427,128.929
1392,117.25299999999999
189,129.134
873,127.285
285,120.147
472,129.953
1256,129.8
563,121.587
911,124.84299999999999
1389,123.26299999999999
