,Mpg,Cylinders,Displacement,Horse_power,Weight,Model_year,Origin
154,29.5,4,98,68,2135,78,3
155,29.8,4,89,62,1845,80,2
156,25,4,110,87,2672,70,2
157,14,8,340,160,3609,70,1
158,24,4,113,95,2372,70,3
159,25,4,113,95,2228,71,3
160,15.5,8,304,120,3962,76,1
161,23,4,140,83,2639,75,1
162,37.7,4,89,62,2050,81,3
163,44.3,4,90,48,2085,80,2
164,43.1,4,90,48,1985,78,2
165,33.8,4,97,67,2145,80,3
166,23,6,198,95,2904,73,1
167,20.5,6,225,100,3430,78,1
168,24,4,120,97,2489,74,3
169,37,4,91,68,2025,82,3
170,16.5,8,350,180,4380,76,1
171,16.5,6,168,120,3820,76,2
172,13,8,302,130,3870,76,1
173,37,4,119,92,2434,80,3
174,20.2,6,200,88,3060,81,1
175,35.1,4,81,60,1760,81,3
176,14,8,318,150,4096,71,1
177,38.1,4,89,60,1968,80,3
178,22,4,140,72,2408,71,1
179,18,6,232,100,2789,73,1
180,31,4,76,52,1649,74,3
181,32,4,135,84,2295,82,1
182,25,6,181,110,2945,82,1
183,23.2,4,156,105,2745,78,1
184,28,4,120,79,2625,82,1
185,16,8,351,149,4335,77,1
186,23,4,120,88,2957,75,2
187,28,4,151,90,2678,80,1
188,30.7,6,145,76,3160,81,2
189,31.3,4,120,75,2542,80,3
190,18,8,318,150,3436,70,1
191,25.4,5,183,77,3530,79,2
192,17,6,163,125,3140,78,2
193,14,8,455,225,4425,70,1
194,24,4,140,92,2865,82,1
195,21,6,199,90,2648,70,1
196,17,8,302,140,3449,70,1
197,33,4,91,53,1795,76,3
198,38,6,262,85,3015,82,1
199,29,4,90,70,1937,75,2
200,31,4,91,68,1970,82,3
201,18,3,70,90,2124,73,3
202,39.4,4,85,70,2070,78,3
203,18,6,199,97,2774,70,1
204,24,4,107,90,2430,70,2
205,35,4,72,69,1613,71,3
206,20.6,6,231,105,3380,78,1
207,33.5,4,151,90,2556,79,1
208,21,6,231,110,3039,75,1
209,34.1,4,86,65,1975,79,3
210,13,8,318,150,3940,76,1
211,30.5,4,98,63,2051,77,1
212,19.8,6,200,85,2990,79,1
213,24,4,121,110,2660,73,2
214,20.2,6,200,85,2965,78,1
215,18.1,6,258,120,3410,78,1
216,26.4,4,140,88,2870,80,1
217,32,4,144,96,2665,82,3
218,14,8,440,215,4312,70,1
219,33.7,4,107,75,2210,81,3
220,18.5,8,360,150,3940,79,1
221,26,4,156,92,2585,82,1
222,14,8,318,150,4237,73,1
223,21,4,122,86,2226,72,1
224,12,8,455,225,4951,73,1
225,22,4,121,98,2945,75,2
226,16.5,8,351,138,3955,79,1
227,30,4,88,76,2065,71,2
228,31,4,112,85,2575,82,1
229,29.5,4,97,71,1825,76,2
230,15,8,383,170,3563,70,1
231,31.9,4,89,71,1925,79,2
232,18,6,225,95,3785,75,1
233,26,4,122,80,2451,74,1
234,22,6,146,97,2815,77,3
235,14,8,454,220,4354,70,1
236,28,4,116,90,2123,71,2
237,29,4,97,78,1940,77,2
238,14.5,8,351,152,4215,76,1
239,26,4,98,79,2255,76,1
240,38,4,105,63,2125,82,1
241,14,8,351,153,4129,72,1
242,22,4,122,86,2395,72,1
243,18.2,8,318,135,3830,79,1
244,23.5,6,173,110,2725,81,1
245,17,8,304,150,3672,72,1
246,29.9,4,98,65,2380,81,1
247,18,6,258,110,2962,71,1
248,46.6,4,86,65,2110,80,3
249,15,6,250,72,3158,75,1
250,20,4,114,91,2582,73,2
251,15.5,8,351,142,4054,79,1
252,30,4,135,84,2385,81,1
253,25,4,140,92,2572,76,1
254,20,6,225,100,3651,76,1
255,17,6,250,100,3329,71,1
256,14,8,304,150,3672,73,1
257,36.1,4,98,66,1800,78,1
258,25.4,6,168,116,2900,81,3
259,15,6,258,110,3730,75,1
260,24,4,116,75,2158,73,2
261,23.7,3,70,100,2420,80,3
262,23.9,4,119,97,2405,78,3
263,32.3,4,97,67,2065,81,3
264,23,4,140,78,2592,75,1
265,36.4,5,121,67,2950,80,2
266,19.1,6,225,90,3381,80,1
267,11,8,400,150,4997,73,1
268,18.6,6,225,110,3620,78,1
269,38,4,91,67,1965,82,3
270,27,4,112,88,2640,82,1
271,13,8,400,190,4422,72,1
272,12,8,350,180,4499,73,1
273,32.8,4,78,52,1985,78,3
